Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,0,138.812508,inf,-nan
s-0-1,0,185.648508,inf,-nan
s-0-2,0,232.484508,inf,-nan
s-0-3,0,279.320508,inf,-nan
s-0-4,0,326.156508,inf,-nan
s-0-5,0,372.992508,inf,-nan
s-0-6,0,419.828508,inf,-nan
s-0-7,0,466.664508,inf,-nan
s-0-8,0,513.500508,inf,-nan
s-0-9,0,560.336508,inf,-nan
s-0-10,0,607.172508,inf,-nan
s-0-11,0,654.008508,inf,-nan
s-0-12,0,700.844508,inf,-nan
s-0-13,0,747.680508,inf,-nan
s-0-14,0,794.516508,inf,-nan
s-0-15,0,841.352508,inf,-nan
s-0-16,0,888.188508,inf,-nan
s-0-17,0,935.024508,inf,-nan
s-0-18,0,981.860508,inf,-nan
s-0-19,0,1028.696508,inf,-nan

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0,0,0





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,93.488254,0.0467441,0.00025
iot-0-1,2000,93.488254,0.0467441,0.00025
iot-0-2,2000,93.488254,0.0467441,0.00025
iot-0-3,2000,93.488254,0.0467441,0.00025
iot-0-4,2000,93.488254,0.0467441,0.00025
iot-0-5,2000,93.488254,0.0467441,0.00025
iot-0-6,2000,93.488254,0.0467441,0.00025
iot-0-7,2000,93.488254,0.0467441,0.00025
iot-0-8,2000,93.488254,0.0467441,0.00025
iot-0-9,2000,93.488254,0.0467441,0.00025
iot-0-10,2000,93.488254,0.0467441,0.00025
iot-0-11,2000,93.488254,0.0467441,0.00025
iot-0-12,2000,93.488254,0.0467441,0.00025
iot-0-13,2000,93.488254,0.0467441,0.00025
iot-0-14,2000,93.488254,0.0467441,0.00025
iot-0-15,2000,93.488254,0.0467441,0.00025
iot-0-16,2000,93.488254,0.0467441,0.00025
iot-0-17,2000,93.488254,0.0467441,0.00025
iot-0-18,2000,93.488254,0.0467441,0.00025
iot-0-19,2000,93.488254,0.0467441,0.00025
iot-0-20,2000,93.488254,0.0467441,0.00025
iot-0-21,2000,93.488254,0.0467441,0.00025
iot-0-22,2000,93.488254,0.0467441,0.00025
iot-0-23,2000,93.488254,0.0467441,0.00025
iot-0-24,2000,93.488254,0.0467441,0.00025
iot-0-25,2000,93.488254,0.0467441,0.00025
iot-0-26,2000,93.488254,0.0467441,0.00025
iot-0-27,2000,93.488254,0.0467441,0.00025
iot-0-28,2000,93.488254,0.0467441,0.00025
iot-0-29,2000,93.488254,0.0467441,0.00025
iot-0-30,2000,93.488254,0.0467441,0.00025
iot-0-31,2000,93.488254,0.0467441,0.00025
iot-0-32,2000,93.488254,0.0467441,0.00025
iot-0-33,2000,93.488254,0.0467441,0.00025
iot-0-34,2000,93.488254,0.0467441,0.00025
iot-0-35,2000,93.488254,0.0467441,0.00025
iot-0-36,2000,93.488254,0.0467441,0.00025
iot-0-37,2000,93.488254,0.0467441,0.00025
iot-0-38,2000,93.488254,0.0467441,0.00025
iot-0-39,2000,93.488254,0.0467441,0.00025
iot-0-40,2000,93.488254,0.0467441,0.00025
iot-0-41,2000,93.488254,0.0467441,0.00025
