Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,40203,91814442.400270,2283.77,508.868
s-0-1,40114,91814489.013734,2288.84,508.838
s-0-2,39588,91814534.534854,2319.25,508.93
s-0-3,39650,91814581.525835,2315.63,508.901
s-0-4,40036,91814629.326745,2293.3,508.9
s-0-5,40089,91814676.295197,2290.27,508.944
s-0-6,40244,91814723.518758,2281.45,508.926
s-0-7,39898,91814769.489762,2301.24,508.944
s-0-8,40121,91814816.883288,2288.45,508.944
s-0-9,39969,91814863.339310,2297.15,508.919
s-0-10,39866,91814909.917744,2303.09,508.883
s-0-11,39797,91814956.581366,2307.08,508.9
s-0-12,39830,91815003.499701,2305.17,508.917
s-0-13,40327,91815051.578226,2276.76,508.905
s-0-14,39284,91815095.806813,2337.21,508.882
s-0-15,40001,91815144.435280,2295.32,508.888
s-0-16,40263,91815191.926244,2280.39,508.903
s-0-17,39953,91815237.987268,2298.08,508.9
s-0-18,39793,91815284.423297,2307.32,508.883
s-0-19,40137,91815332.119265,2287.55,508.917
s-0-20,39928,91815378.432772,2299.52,508.881
s-0-21,39839,91815425.046310,2304.66,508.915
s-0-22,39948,91815472.154769,2298.37,508.882
s-0-23,39700,91815518.370851,2312.73,508.907
s-0-24,40145,91815566.319272,2287.1,508.919
s-0-25,40086,91815613.007780,2290.47,508.829
s-0-26,40056,91815659.768717,2292.18,508.886
s-0-27,39725,91815705.777346,2311.28,508.953
s-0-28,39929,91815753.123249,2299.48,508.897
s-0-29,40000,91815800.136770,2295.4,508.914
s-0-30,40019,91815847.020280,2294.31,508.94
s-0-31,39865,91815893.471319,2303.17,508.933
s-0-32,39911,91815940.422254,2300.52,508.918
s-0-33,40288,91815988.200778,2278.99,508.969
s-0-34,39863,91816033.974261,2303.29,508.852
s-0-35,40121,91816081.455277,2288.48,508.949
s-0-36,40201,91816128.491294,2283.93,508.932
s-0-37,40036,91816174.914741,2293.34,508.963
s-0-38,40156,91816222.050722,2286.49,508.908
s-0-39,40335,91816269.334202,2276.34,508.913
s-0-40,39907,91816315.100262,2300.76,508.901
s-0-41,40359,91816363.066233,2274.99,508.917
s-0-42,40260,91816409.654758,2280.59,508.936
s-0-43,39749,91816455.213240,2309.91,508.938
s-0-44,40255,91816503.314251,2280.87,508.909
s-0-45,40234,91816550.097691,2282.06,508.918
s-0-46,40047,91816596.466308,2292.72,508.886
s-0-47,39969,91816643.107260,2297.2,508.942
s-0-48,39861,91816689.673311,2303.42,508.885
s-0-49,40045,91816736.969223,2292.84,508.898

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0.0633484,50.0633,2000000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,91769274.676832,45884.6,509.829
iot-0-1,2000,91767541.744832,45883.8,509.819
iot-0-2,2000,91768056.940832,45884,509.822
iot-0-3,2000,91767073.384832,45883.5,509.817
iot-0-4,2000,91769462.020832,45884.7,509.83
iot-0-5,2000,91768759.480832,45884.4,509.826
iot-0-6,2000,91768244.284832,45884.1,509.823
iot-0-7,2000,91767260.728832,45883.6,509.818
iot-0-8,2000,91768946.824832,45884.5,509.827
iot-0-9,2000,91768431.628832,45884.2,509.824
iot-0-10,2000,91769134.254266,45884.6,509.828
iot-0-11,2000,91768197.448832,45884.1,509.823
iot-0-12,2000,91768806.316832,45884.4,509.827
iot-0-13,2000,91769227.840832,45884.6,509.829
iot-0-14,2000,91769181.004832,45884.6,509.829
iot-0-15,2000,91768525.300832,45884.3,509.825
iot-0-16,2000,91768618.972832,45884.3,509.825
iot-0-17,2000,91769087.332832,45884.5,509.828
iot-0-18,2000,91768853.152832,45884.4,509.827
iot-0-19,2000,91770773.428832,45885.4,509.837
iot-0-20,2000,91769415.184832,45884.7,509.83
iot-0-21,2000,91770070.888832,45885,509.834
iot-0-22,2000,91770445.576832,45885.2,509.836
iot-0-23,2000,91767963.268832,45884,509.822
iot-0-24,2000,91771054.444832,45885.5,509.839
iot-0-25,2000,91769321.512832,45884.7,509.829
iot-0-26,2000,91769696.200832,45884.8,509.831
iot-0-27,2000,91769977.216832,45885,509.833
iot-0-28,2000,91769368.348832,45884.7,509.83
iot-0-29,2000,91769930.380832,45885,509.833
iot-0-30,2000,91768712.644832,45884.4,509.826
iot-0-31,2000,91768993.660832,45884.5,509.828
iot-0-32,2000,91768337.956832,45884.2,509.824
iot-0-33,2000,91769555.692832,45884.8,509.831
iot-0-34,2000,91770305.068832,45885.2,509.835
iot-0-35,2000,91770024.052832,45885,509.833
iot-0-36,2000,91769883.544832,45884.9,509.832
iot-0-37,2000,91768899.988832,45884.4,509.827
iot-0-38,2000,91771194.952832,45885.6,509.84
iot-0-39,2000,91770586.084832,45885.3,509.836
iot-0-40,2000,91770211.396832,45885.1,509.834
iot-0-41,2000,91768478.464832,45884.2,509.825
iot-0-42,2000,91769649.364832,45884.8,509.831
