Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-383,2000,101947372.656898,50973.7,509.737
iot-0-384,2000,101948673.656898,50974.3,509.743
iot-0-385,2000,101948569.678075,50974.3,509.743
iot-0-386,2000,101947841.016898,50973.9,509.739
iot-0-387,2000,101948205.296898,50974.1,509.741
iot-0-388,2000,101948621.616898,50974.3,509.743
iot-0-389,2000,101947788.976899,50973.9,509.739
iot-0-390,2000,101947424.696898,50973.7,509.737
iot-0-391,2000,101948101.216898,50974.1,509.74
iot-0-392,2000,101949194.056899,50974.6,509.746
iot-0-393,2000,101948569.576898,50974.3,509.743
iot-0-394,2000,101948465.496899,50974.2,509.742
iot-0-395,2000,101948933.856898,50974.5,509.745
iot-0-396,2000,101949090.078075,50974.5,509.745
iot-0-397,2000,101948829.776898,50974.4,509.744
iot-0-398,2000,101949870.576899,50974.9,509.749
iot-0-399,2000,101948777.736898,50974.4,509.744
iot-0-400,2000,101950807.296899,50975.4,509.754
iot-0-401,2000,101949766.496899,50974.9,509.749
iot-0-402,2000,101948309.376898,50974.2,509.741
iot-0-403,2000,101948725.696898,50974.4,509.743
iot-0-404,2000,101949142.016898,50974.6,509.746
iot-0-405,2000,101949558.539251,50974.8,509.748
iot-0-406,2000,101949506.296899,50974.8,509.747
iot-0-407,2000,101949454.256898,50974.7,509.747
iot-0-408,2000,101949506.398075,50974.8,509.747
iot-0-409,2000,101948413.456898,50974.2,509.742
iot-0-410,2000,101948361.416898,50974.2,509.742
iot-0-411,2000,101948049.176898,50974,509.74
iot-0-412,2000,101949922.616899,50975,509.749
iot-0-413,2000,101950547.096899,50975.3,509.753
iot-0-414,2000,101949662.720427,50974.8,509.748
iot-0-415,2000,101949662.416899,50974.8,509.748
iot-0-416,2000,101948517.536899,50974.3,509.742
iot-0-417,2000,101948985.896898,50974.5,509.745
iot-0-418,2000,101949818.536899,50974.9,509.749
iot-0-419,2000,101949402.216899,50974.7,509.747
iot-0-420,2000,101949610.376899,50974.8,509.748
iot-0-421,2000,101949714.456899,50974.9,509.748
iot-0-422,2000,101949974.656899,50975,509.75
iot-0-423,2000,101950859.336899,50975.4,509.754
iot-0-424,2000,101950286.896899,50975.1,509.751
iot-0-425,2000,101950026.696899,50975,509.75
iot-0-426,2000,101950703.216899,50975.4,509.753
iot-0-427,2000,101950130.776899,50975.1,509.751
iot-0-428,2000,101949350.176898,50974.7,509.747
iot-0-429,2000,101950651.176899,50975.3,509.753
iot-0-430,2000,101949454.358074,50974.7,509.747
iot-0-431,2000,101951327.696899,50975.7,509.757
iot-0-432,2000,101949246.096898,50974.6,509.746
iot-0-433,2000,101951119.536899,50975.6,509.755
iot-0-434,2000,101950078.736899,50975,509.75
iot-0-435,2000,101950234.856899,50975.1,509.751
iot-0-436,2000,101950443.016898,50975.2,509.752
iot-0-437,2000,101950390.976899,50975.2,509.752
iot-0-438,2000,101951275.656899,50975.6,509.756
iot-0-439,2000,101951015.456899,50975.5,509.755
iot-0-440,2000,101952940.936898,50976.5,509.765
iot-0-441,2000,101951067.496899,50975.5,509.755
iot-0-442,2000,101951379.736899,50975.7,509.757
iot-0-443,2000,101951171.576899,50975.6,509.756
iot-0-444,2000,101952316.456899,50976.2,509.761
iot-0-445,2000,101952004.216899,50976,509.76
iot-0-446,2000,101952524.616898,50976.3,509.762
iot-0-447,2000,101952628.696899,50976.3,509.763
iot-0-448,2000,101950495.056899,50975.2,509.752
iot-0-449,2000,101951535.856899,50975.8,509.758
iot-0-450,2000,101950963.416899,50975.5,509.755
iot-0-451,2000,101950338.936899,50975.2,509.752
iot-0-452,2000,101952212.376898,50976.1,509.761
iot-0-453,2000,101953721.536899,50976.9,509.768
iot-0-454,2000,101950599.136899,50975.3,509.753
iot-0-455,2000,101951639.936899,50975.8,509.758
iot-0-456,2000,101950911.376899,50975.5,509.754
iot-0-457,2000,101950182.816899,50975.1,509.751
iot-0-458,2000,101951223.616899,50975.6,509.756
iot-0-459,2000,101951587.896899,50975.8,509.758
iot-0-460,2000,101953149.096898,50976.6,509.766
iot-0-461,2000,101951691.976899,50975.8,509.758
iot-0-462,2000,101951796.056898,50975.9,509.759
iot-0-463,2000,101953357.256898,50976.7,509.767
iot-0-464,2000,101952472.576899,50976.2,509.762
iot-0-465,2000,101950755.256899,50975.4,509.754
iot-0-466,2000,101952368.496898,50976.2,509.762
iot-0-467,2000,101951900.136899,50976,509.759
iot-0-468,2000,101953409.296899,50976.7,509.767
iot-0-469,2000,101951483.816899,50975.7,509.757
iot-0-470,2000,101951952.176899,50976,509.76
iot-0-471,2000,101952264.416898,50976.1,509.761
iot-0-472,2000,101952108.296898,50976.1,509.76
iot-0-473,2000,101952680.736899,50976.3,509.763
iot-0-474,2000,101951431.776899,50975.7,509.757
iot-0-475,2000,101953877.656898,50976.9,509.769
iot-0-476,2000,101951744.016899,50975.9,509.759
iot-0-477,2000,101951848.096899,50975.9,509.759
iot-0-478,2000,101952576.656898,50976.3,509.763
iot-0-479,2000,101952056.256899,50976,509.76
iot-0-480,2000,101953201.136899,50976.6,509.766
iot-0-481,2000,101953617.456899,50976.8,509.768
iot-0-482,2000,101952992.976898,50976.5,509.765
iot-0-483,2000,101953513.376899,50976.8,509.767
iot-0-484,2000,101952888.896898,50976.4,509.764
iot-0-485,2000,101952160.336899,50976.1,509.761
iot-0-486,2000,101953565.416898,50976.8,509.768
iot-0-487,2000,101952784.816899,50976.4,509.764
iot-0-488,2000,101953253.176899,50976.6,509.766
iot-0-489,2000,101952420.536899,50976.2,509.762
iot-0-490,2000,101953097.056898,50976.5,509.765
iot-0-491,2000,101953929.696899,50977,509.77
iot-0-492,2000,101954085.816898,50977,509.77
iot-0-493,2000,101953305.216899,50976.7,509.766
iot-0-494,2000,101954502.136898,50977.3,509.772
iot-0-495,2000,101953461.336898,50976.7,509.767
iot-0-496,2000,101954293.976898,50977.1,509.771
iot-0-497,2000,101952732.776899,50976.4,509.764
iot-0-498,2000,101954658.256898,50977.3,509.773
iot-0-499,2000,101954814.376899,50977.4,509.774
iot-0-500,2000,101955699.056898,50977.8,509.778
iot-0-501,2000,101952836.856899,50976.4,509.764
iot-0-502,2000,101954033.776899,50977,509.77
iot-0-503,2000,101953981.736898,50977,509.77
iot-0-504,2000,101953669.496898,50976.8,509.768
iot-0-505,2000,101955542.936899,50977.8,509.778
iot-0-506,2000,101954762.336898,50977.4,509.774
iot-0-507,2000,101953773.576899,50976.9,509.769
iot-0-508,2000,101954189.896898,50977.1,509.771
iot-0-509,2000,101954918.456899,50977.5,509.774
iot-0-510,2000,101954137.856899,50977.1,509.771
iot-0-511,2000,101954866.416899,50977.4,509.774
iot-0-512,2000,101955282.736899,50977.6,509.776
iot-0-513,2000,101953045.016898,50976.5,509.765
iot-0-514,2000,101954450.096898,50977.2,509.772
iot-0-515,2000,101953825.616898,50976.9,509.769
iot-0-516,2000,101954606.318075,50977.3,509.773
iot-0-517,2000,101954970.496899,50977.5,509.775
iot-0-518,2000,101955907.216899,50978,509.779
iot-0-519,2000,101955230.696899,50977.6,509.776
iot-0-520,2000,101954710.296899,50977.4,509.773
iot-0-521,2000,101955647.016899,50977.8,509.778
iot-0-522,2000,101954398.056898,50977.2,509.772
iot-0-523,2000,101954554.176898,50977.3,509.773
iot-0-524,2000,101955022.536899,50977.5,509.775
iot-0-525,2000,101956479.656899,50978.2,509.782
