Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,199721,84285110.661017,422.014,467.083
s-0-1,200289,84285158.911269,420.818,467.106
s-0-2,199842,84285204.634548,421.759,467.109
s-0-3,199951,84285251.754188,421.53,467.092
s-0-4,200083,84285298.913689,421.252,467.084
s-0-5,199514,84285344.325193,422.453,467.062
s-0-6,199720,84285391.668140,422.018,467.078
s-0-7,199959,84285439.101320,421.514,467.09
s-0-8,200540,84285487.397979,420.293,467.09
s-0-9,200381,84285533.840922,420.626,467.068

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0.423951,10.424,2000000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,84275935.828837,42138,468.198
iot-0-1,2000,84279729.637057,42139.9,468.22
iot-0-2,2000,84280010.566374,42140,468.221
iot-0-3,2000,84281837.172673,42140.9,468.231
iot-0-4,2000,84257904.126899,42129,468.098
iot-0-5,2000,84268910.421747,42134.5,468.159
iot-0-6,2000,84281556.158708,42140.8,468.23
iot-0-7,2000,84252424.227484,42126.2,468.068
iot-0-8,2000,84277247.237821,42138.6,468.206
iot-0-9,2000,84247974.720973,42124,468.043
iot-0-10,2000,84259355.957716,42129.7,468.106
iot-0-11,2000,84260948.297691,42130.5,468.115
iot-0-12,2000,84277902.943239,42139,468.209
iot-0-13,2000,84265585.064240,42132.8,468.141
iot-0-14,2000,84283523.288741,42141.8,468.241
iot-0-15,2000,84263430.607127,42131.7,468.129
iot-0-16,2000,84262119.198369,42131.1,468.122
iot-0-17,2000,84262306.540970,42131.2,468.123
iot-0-18,2000,84257060.906266,42128.5,468.094
iot-0-19,2000,84265116.702718,42132.6,468.138
iot-0-20,2000,84260292.595456,42130.1,468.112
iot-0-21,2000,84248302.572661,42124.2,468.045
iot-0-22,2000,84271580.162677,42135.8,468.174
iot-0-23,2000,84281743.506729,42140.9,468.231
iot-0-24,2000,84257482.431340,42128.7,468.096
iot-0-25,2000,84273078.829726,42136.5,468.183
iot-0-26,2000,84247365.851934,42123.7,468.04
iot-0-27,2000,84273500.523171,42136.8,468.185
iot-0-28,2000,84261510.330401,42130.8,468.118
iot-0-29,2000,84274296.568094,42137.1,468.189
iot-0-30,2000,84253454.533534,42126.7,468.074
iot-0-31,2000,84265210.375928,42132.6,468.139
iot-0-32,2000,84249848.161921,42124.9,468.053
iot-0-33,2000,84247693.789985,42123.8,468.042
iot-0-34,2000,84276451.028136,42138.2,468.201
iot-0-35,2000,84263149.590232,42131.6,468.127
iot-0-36,2000,84245539.333137,42122.8,468.03
