Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,99774,88992637.806097,891.942,493.225
s-0-1,99586,88992683.890111,893.626,493.262
s-0-2,100013,88992732.434086,889.812,493.269
s-0-3,100062,88992779.466103,889.376,493.196
s-0-4,100401,88992827.658116,886.374,493.262
s-0-5,99947,88992872.678114,890.401,493.201
s-0-6,99945,88992919.506096,890.419,493.293
s-0-7,100169,88992967.238118,888.428,493.222
s-0-8,100317,88993014.666105,887.118,493.224
s-0-9,99675,88993058.934076,892.832,493.221
s-0-10,99490,88993105.030100,894.493,493.211
s-0-11,99997,88993153.894083,889.958,493.286
s-0-12,100159,88993201.378125,888.519,493.252
s-0-13,99846,88993246.962109,891.305,493.252
s-0-14,100072,88993294.702121,889.293,493.216
s-0-15,99897,88993340.838121,890.851,493.202
s-0-16,100299,88993389.282058,887.281,493.215
s-0-17,100215,88993435.782088,888.025,493.2
s-0-18,99727,88993480.666109,892.371,493.255
s-0-19,100409,88993530.230103,886.31,493.262

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0.177099,20.1771,2000000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,88948100.713253,44474.1,494.156
iot-0-1,2000,88948803.253252,44474.4,494.16
iot-0-2,2000,88948053.877252,44474,494.156
iot-0-3,2000,88947491.845252,44473.7,494.153
iot-0-4,2000,88947257.665253,44473.6,494.151
iot-0-5,2000,88950864.037252,44475.4,494.171
iot-0-6,2000,88948288.057252,44474.1,494.157
iot-0-7,2000,88948569.073253,44474.3,494.159
iot-0-8,2000,88949412.121252,44474.7,494.163
iot-0-9,2000,88947351.514870,44473.7,494.152
iot-0-10,2000,88946836.141252,44473.4,494.149
iot-0-11,2000,88948662.745252,44474.3,494.159
iot-0-12,2000,88948194.385253,44474.1,494.156
iot-0-13,2000,88948475.401253,44474.2,494.158
iot-0-14,2000,88948334.893252,44474.2,494.157
iot-0-15,2000,88947913.369253,44474,494.155
iot-0-16,2000,88949552.629252,44474.8,494.164
iot-0-17,2000,88949458.957252,44474.7,494.164
iot-0-18,2000,88948896.925252,44474.4,494.16
iot-0-19,2000,88947679.189252,44473.8,494.154
iot-0-20,2000,88950676.693252,44475.3,494.17
iot-0-21,2000,88948615.909252,44474.3,494.159
iot-0-22,2000,88946883.154870,44473.4,494.149
iot-0-23,2000,88950910.873253,44475.5,494.172
iot-0-24,2000,88950957.709252,44475.5,494.172
iot-0-25,2000,88948428.565252,44474.2,494.158
iot-0-26,2000,88948990.597252,44474.5,494.161
iot-0-27,2000,88950442.513253,44475.2,494.169
iot-0-28,2000,88952503.297253,44476.3,494.18
iot-0-29,2000,88951004.545253,44475.5,494.172
iot-0-30,2000,88951566.577253,44475.8,494.175
iot-0-31,2000,88948007.041252,44474,494.155
iot-0-32,2000,88950161.497252,44475.1,494.167
iot-0-33,2000,88951707.085252,44475.9,494.176
iot-0-34,2000,88949786.809253,44474.9,494.165
iot-0-35,2000,88950817.201253,44475.4,494.171
iot-0-36,2000,88948241.221252,44474.1,494.157
iot-0-37,2000,88949739.973252,44474.9,494.165
iot-0-38,2000,88947304.501252,44473.7,494.152
iot-0-39,2000,88951098.217253,44475.5,494.173
iot-0-40,2000,88951285.561253,44475.6,494.174
iot-0-41,2000,88950629.857253,44475.3,494.17
iot-0-42,2000,88949318.449252,44474.7,494.163
iot-0-43,2000,88949693.137252,44474.8,494.165
iot-0-44,2000,88951145.053252,44475.6,494.173
iot-0-45,2000,88950114.750061,44475.1,494.167
iot-0-46,2000,88951051.381252,44475.5,494.172
iot-0-47,2000,88949974.153252,44475,494.166
iot-0-48,2000,88949271.613252,44474.6,494.162
iot-0-49,2000,88951472.905253,44475.7,494.175
iot-0-50,2000,88950302.005252,44475.2,494.168
iot-0-51,2000,88952222.281253,44476.1,494.179
iot-0-52,2000,88949224.777252,44474.6,494.162
iot-0-53,2000,88950114.661252,44475.1,494.167
iot-0-54,2000,88950208.333252,44475.1,494.168
iot-0-55,2000,88951004.634062,44475.5,494.172
iot-0-56,2000,88949084.269252,44474.5,494.161
iot-0-57,2000,88950067.825253,44475,494.167
iot-0-58,2000,88951238.725252,44475.6,494.173
iot-0-59,2000,88950020.989252,44475,494.167
iot-0-60,2000,88949131.105253,44474.6,494.162
iot-0-61,2000,88949505.793252,44474.8,494.164
iot-0-62,2000,88952409.625253,44476.2,494.18
iot-0-63,2000,88949177.941252,44474.6,494.162
iot-0-64,2000,88951426.069252,44475.7,494.174
iot-0-65,2000,88951519.741252,44475.8,494.175
iot-0-66,2000,88948850.089253,44474.4,494.16
iot-0-67,2000,88952034.937253,44476,494.178
iot-0-68,2000,88951800.757252,44475.9,494.177
iot-0-69,2000,88952690.641253,44476.3,494.181
iot-0-70,2000,88950395.677252,44475.2,494.169
iot-0-71,2000,88951379.233253,44475.7,494.174
iot-0-72,2000,88950583.021252,44475.3,494.17
iot-0-73,2000,88948522.237252,44474.3,494.158
iot-0-74,2000,88948943.761252,44474.5,494.161
iot-0-75,2000,88950489.349252,44475.2,494.169
iot-0-76,2000,88950348.841253,44475.2,494.168
iot-0-77,2000,88949646.301252,44474.8,494.165
iot-0-78,2000,88953065.329253,44476.5,494.184
iot-0-79,2000,88950536.185252,44475.3,494.169
iot-0-80,2000,88952315.953253,44476.2,494.179
iot-0-81,2000,88949880.481252,44474.9,494.166
iot-0-82,2000,88950723.618061,44475.4,494.171
iot-0-83,2000,88952175.445252,44476.1,494.179
iot-0-84,2000,88951753.921253,44475.9,494.176
iot-0-85,2000,88950255.169252,44475.1,494.168
iot-0-86,2000,88952081.862061,44476,494.178
iot-0-87,2000,88952971.657253,44476.5,494.183
iot-0-88,2000,88952269.117252,44476.1,494.179
iot-0-89,2000,88950770.365252,44475.4,494.171
iot-0-90,2000,88952456.461252,44476.2,494.18
iot-0-91,2000,88952128.609253,44476.1,494.178
iot-0-92,2000,88954283.065253,44477.1,494.19
iot-0-93,2000,88951941.265253,44476,494.177
iot-0-94,2000,88952784.313253,44476.4,494.182
iot-0-95,2000,88951988.101252,44476,494.178
iot-0-96,2000,88954142.646062,44477.1,494.19
iot-0-97,2000,88951847.593253,44475.9,494.177
iot-0-98,2000,88952081.773252,44476,494.178
iot-0-99,2000,88954470.409253,44477.2,494.191
iot-0-100,2000,88953112.254061,44476.6,494.184
iot-0-101,2000,88952877.985253,44476.4,494.182
iot-0-102,2000,88951613.413252,44475.8,494.175
iot-0-103,2000,88954002.049253,44477,494.189
iot-0-104,2000,88951660.249253,44475.8,494.176
iot-0-105,2000,88953393.181252,44476.7,494.185
iot-0-106,2000,88951332.397252,44475.7,494.174
iot-0-107,2000,88953346.345253,44476.7,494.185
iot-0-108,2000,88952831.238061,44476.4,494.182
iot-0-109,2000,88951191.889253,44475.6,494.173
iot-0-110,2000,88954423.662062,44477.2,494.191
iot-0-111,2000,88953533.689253,44476.8,494.186
iot-0-112,2000,88952737.477252,44476.4,494.182
iot-0-113,2000,88952269.206061,44476.1,494.179
iot-0-114,2000,88952924.821252,44476.5,494.183
iot-0-115,2000,88952362.789252,44476.2,494.18
iot-0-116,2000,88953018.582061,44476.5,494.183
iot-0-117,2000,88953112.165252,44476.6,494.184
iot-0-118,2000,88953674.197253,44476.8,494.187
iot-0-119,2000,88954517.245253,44477.3,494.192
iot-0-120,2000,88953018.493252,44476.5,494.183
iot-0-121,2000,88953159.001253,44476.6,494.184
iot-0-122,2000,88953159.090062,44476.6,494.184
iot-0-123,2000,88955407.129253,44477.7,494.197
iot-0-124,2000,88953299.509252,44476.6,494.185
