Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time Execution, Waiting Time
s-0-793,12,367687.57,30640.63,325.30,3461.93
s-0-794,9,367865.58,40873.95,338.46,3414.13
s-0-795,16,367518.60,22969.91,341.11,3391.97
s-0-796,11,367801.62,33436.51,303.83,3475.68
s-0-797,6,368084.63,61347.44,404.65,3435.88
s-0-798,9,367947.65,40883.07,353.39,3347.45
s-0-799,6,368125.67,61354.28,346.85,3416.38
s-0-800,11,367883.68,33443.97,351.95,2420.37
s-0-801,12,367851.70,30654.31,351.46,3203.80
s-0-802,11,367924.72,33447.70,358.64,3380.89
s-0-803,15,367735.23,24515.68,342.28,3382.33
s-0-804,13,367860.75,28296.98,307.00,3472.40
s-0-805,11,367986.27,33453.30,337.55,3122.28
s-0-806,10,368059.28,36805.93,354.28,2152.96
s-0-807,12,367974.80,30664.57,336.76,3462.14
s-0-808,11,368047.82,33458.89,349.37,3329.40
s-0-809,8,368225.83,46028.23,347.58,3428.08
s-0-810,14,367931.35,26280.81,334.40,3477.12
s-0-811,10,368161.87,36816.19,324.77,3449.62
s-0-812,10,368182.38,36818.24,304.34,3192.45
s-0-813,12,368097.90,30674.83,310.87,3285.07
s-0-814,12,368118.42,30676.53,357.12,3167.55
s-0-815,10,368243.94,36824.39,330.41,3429.93
s-0-816,5,368526.95,73705.39,330.19,3078.00
s-0-817,13,368127.47,28317.50,339.72,3465.83
s-0-818,6,368515.49,61419.25,347.35,3372.07
s-0-819,7,368483.50,52640.50,326.54,3494.35
s-0-820,5,368609.02,73721.80,318.69,3505.22
s-0-821,12,368262.04,30688.50,363.50,3261.32
s-0-822,9,368440.05,40937.78,345.05,2981.32
s-0-823,2,368828.07,184414.03,345.09,2327.16
s-0-824,7,368586.09,52655.16,354.95,3374.94
s-0-825,15,368186.60,24545.77,335.45,3431.98
s-0-826,10,368469.62,36846.96,373.54,3363.86
s-0-827,9,368542.64,40949.18,360.17,3479.99
s-0-828,7,368668.15,52666.88,307.47,3479.37
s-0-829,10,368531.17,36853.12,319.33,2916.33
s-0-830,9,368604.19,40956.02,331.22,3481.22
s-0-831,8,368677.20,46084.65,346.50,2578.65
s-0-832,7,368750.22,52678.60,333.28,3329.92
s-0-833,12,368508.24,30709.02,330.02,3388.69
s-0-834,15,368371.25,24558.08,349.61,3242.06
s-0-835,8,368759.27,46094.91,343.18,3273.52
s-0-836,8,368779.79,46097.47,347.76,3334.52
s-0-837,11,368642.80,33512.98,325.80,3476.09
s-0-838,4,369030.82,92257.71,343.65,2609.57
s-0-839,14,368526.34,26323.31,328.91,3454.14
s-0-840,8,368861.85,46107.73,344.52,3367.56
s-0-841,5,369039.87,73807.97,316.79,2687.73
s-0-842,7,368955.39,52707.91,344.51,2680.14
s-0-843,9,368870.90,40985.66,354.87,3042.45
s-0-844,6,369048.92,61508.15,354.12,2734.95
s-0-845,12,368754.44,30729.54,328.97,3442.85
s-0-846,8,368984.96,46123.12,376.33,2254.44
s-0-847,15,368637.97,24575.86,305.47,3424.39
s-0-848,10,368920.99,36892.10,333.08,3154.00
s-0-849,11,368889.01,33535.36,328.12,3313.66
s-0-850,5,369224.52,73844.90,345.04,2077.81
s-0-851,6,369192.54,61532.09,321.49,2640.18
s-0-852,6,369213.06,61535.51,343.40,3225.40
s-0-853,12,368918.57,30743.21,353.48,3364.69
s-0-854,11,368991.59,33544.69,376.18,3378.43
s-0-855,7,369222.11,52746.02,324.72,3311.78
s-0-856,6,369295.12,61549.19,314.33,3328.10
s-0-857,10,369105.64,36910.56,354.78,3438.95
s-0-858,14,368916.16,26351.15,320.27,3431.78
s-0-859,10,369146.67,36914.67,373.04,3228.67
s-0-860,12,369062.19,30755.18,337.19,3035.07
s-0-861,10,369187.71,36918.77,330.50,3327.75
s-0-862,8,369313.22,46164.15,336.58,3181.59
s-0-863,6,369438.74,61573.12,308.40,3349.29
s-0-864,10,369249.26,36924.93,368.58,2906.93
s-0-865,12,369164.77,30763.73,333.90,3478.35
s-0-866,8,369395.29,46174.41,319.26,3341.50
s-0-867,12,369205.81,30767.15,335.57,3439.78
s-0-868,12,369226.32,30768.86,365.45,3314.94
s-0-869,14,369141.84,26367.27,345.21,3469.12
s-0-870,14,369162.36,26368.74,337.35,3404.49
s-0-871,9,369445.37,41049.49,335.97,3154.85
s-0-872,10,369413.39,36941.34,335.19,2931.31
s-0-873,7,369591.41,52798.77,345.05,3117.36
s-0-874,5,369716.92,73943.38,345.06,2921.23
s-0-875,12,369369.94,30780.83,328.54,3450.65
s-0-876,11,369442.96,33585.72,353.77,3421.31
s-0-877,6,369725.97,61621.00,365.51,2930.51
s-0-878,11,369483.99,33589.45,364.90,3418.03
s-0-879,8,369662.01,46207.75,354.31,3351.96
s-0-880,10,369577.53,36957.75,334.91,3491.48
s-0-881,5,369860.54,73972.11,340.75,3361.40
s-0-882,14,369408.56,26386.33,352.68,3225.60
s-0-883,12,369534.08,30794.51,332.16,3415.98
s-0-884,13,369502.09,28423.24,352.02,3378.64
s-0-885,11,369627.61,33602.51,353.59,3338.01
s-0-886,10,369700.63,36970.06,353.70,3391.97
s-0-887,5,369983.64,73996.73,269.58,1257.19
s-0-888,9,369794.16,41088.24,337.50,2673.99
s-0-889,13,369604.68,28431.13,339.12,3469.94
s-0-890,11,369730.19,33611.84,358.77,2750.84
s-0-891,8,369908.21,46238.53,350.64,2863.70
s-0-892,9,369876.23,41097.36,350.61,2909.28
