Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time Execution, Waiting Time
s-0-122,992,34550058.29,34828.69,345.01,343299.86
s-0-123,986,34550393.80,35040.97,345.05,341862.33
s-0-124,1006,34549364.32,34343.30,345.05,343191.53
s-0-125,1039,34547652.34,33250.87,345.01,342720.89
s-0-126,978,34550875.35,35328.09,344.63,343080.92
s-0-127,993,34550108.37,34793.66,345.05,342933.14
s-0-128,1000,34549761.39,34549.76,344.74,343086.40
s-0-129,947,34552564.40,36486.34,345.00,343075.08
s-0-130,963,34551744.92,35879.28,345.08,343360.98
s-0-131,1035,34547985.44,33379.70,345.03,343191.34
s-0-132,967,34551575.96,35730.69,344.92,343384.37
s-0-133,1001,34549811.47,34515.30,345.05,343158.12
s-0-134,952,34552404.49,36294.54,345.02,342858.85
s-0-135,1011,34549327.51,34173.42,344.85,342386.75
s-0-136,988,34550555.52,34970.20,345.07,343145.96
s-0-137,979,34551048.54,35292.18,345.13,343136.55
s-0-138,1017,34549074.06,33971.56,345.09,343199.95
s-0-139,1028,34548517.07,33607.51,344.93,343251.25
s-0-140,1004,34549797.59,34412.15,345.12,343307.66
s-0-141,998,34550133.11,34619.37,345.15,342672.82
s-0-142,994,34550363.62,34758.92,345.04,343302.73
s-0-143,984,34550909.14,35112.71,344.88,343267.85
s-0-144,994,34550404.66,34758.96,345.23,342722.99
s-0-145,963,34552052.67,35879.60,344.85,343033.99
s-0-146,969,34551758.19,35657.13,344.86,343408.38
s-0-147,1007,34549783.71,34309.62,345.29,342966.21
s-0-148,1060,34547021.72,32591.53,344.54,342879.29
s-0-149,959,34552344.74,36029.56,345.04,343267.13
s-0-150,992,34550632.76,34829.27,344.81,343199.23
s-0-151,968,34551913.27,35694.13,345.14,343149.11
s-0-152,977,34551461.29,35364.85,345.34,343298.21
s-0-153,1018,34549329.31,33938.44,345.00,343257.19
s-0-154,971,34551817.32,35583.75,345.05,343270.62
s-0-155,1035,34548477.84,33380.17,345.22,343135.33
s-0-156,1012,34549705.86,34140.03,345.07,343027.82
s-0-157,989,34550933.87,34935.22,344.86,343280.16
s-0-158,962,34552371.89,35917.23,345.02,343400.99
s-0-159,974,34551762.41,35474.09,345.20,343335.55
s-0-160,997,34550575.42,34654.54,345.21,343264.98
s-0-161,1062,34547183.44,32530.30,345.10,342686.69
s-0-162,975,34551771.46,35437.71,344.44,343388.07
s-0-163,957,34552736.98,36105.26,345.03,343433.61
s-0-164,967,34552232.49,35731.37,344.99,343356.47
s-0-165,1008,34550100.51,34275.89,345.33,343230.11
s-0-166,990,34551066.03,34900.07,345.02,343302.73
s-0-167,975,34551874.04,35437.82,345.13,343359.14
s-0-168,1026,34549217.06,33673.70,344.92,343172.87
s-0-169,995,34550865.08,34724.49,345.00,343333.30
s-0-170,1046,34548208.09,33028.88,345.03,343070.16
s-0-171,981,34551641.11,35220.84,344.94,342897.47
s-0-172,1000,34550664.13,34550.66,344.89,343220.67
s-0-173,1064,34547324.64,32469.29,345.17,343103.75
s-0-174,968,34552385.16,35694.61,345.28,343269.19
s-0-175,938,34553980.68,36837.93,345.20,343038.80
s-0-176,1037,34548803.69,33316.11,344.93,342492.50
s-0-177,1029,34549244.21,33575.55,344.92,343106.19
s-0-178,1047,34548319.73,32997.44,344.62,343146.01
s-0-179,931,34554430.24,37115.39,344.76,343491.66
s-0-180,996,34551038.26,34689.80,344.74,343285.50
s-0-181,992,34551268.78,34829.91,345.13,343254.31
s-0-182,998,34550974.29,34620.21,345.19,343253.29
s-0-183,1005,34550627.31,34378.73,344.86,343278.11
s-0-184,973,34552327.83,35511.13,345.05,343301.28
s-0-185,991,34551403.34,34865.19,344.62,343327.55
s-0-186,942,34553996.36,36681.52,344.73,343420.47
s-0-187,1003,34550814.38,34447.47,345.24,343219.03
s-0-188,929,34554719.89,37195.61,345.13,342919.10
s-0-189,975,34552325.41,35438.28,344.76,342311.27
s-0-190,975,34552345.93,35438.30,344.93,343236.79
s-0-191,1048,34548533.94,32966.16,344.87,343092.05
s-0-192,973,34552491.96,35511.30,345.05,343376.58
s-0-193,1041,34548942.48,33188.23,345.02,343108.05
s-0-194,1006,34550800.49,34344.73,345.10,342908.08
s-0-195,1038,34549141.01,33284.34,345.08,342629.72
s-0-196,986,34551891.53,35042.49,345.22,343197.92
s-0-197,1015,34550389.55,34039.79,344.87,343246.52
s-0-198,1060,34548047.56,32592.50,345.00,343090.41
s-0-199,1054,34548383.08,32778.35,345.22,342800.67
s-0-200,942,34554283.60,36681.83,345.10,343424.37
s-0-201,1008,34550839.11,34276.63,345.03,343143.35
s-0-202,959,34553432.13,36030.69,344.99,343397.09
s-0-203,972,34552770.15,35548.12,345.10,343306.62
s-0-204,1026,34549955.66,33674.42,344.89,343204.88
s-0-205,993,34551708.68,34795.28,345.00,343255.75
s-0-206,964,34553251.70,35843.62,345.07,343257.77
s-0-207,955,34553744.71,36181.93,345.12,343344.36
s-0-208,1040,34549302.73,33220.48,344.99,343148.88
s-0-209,1035,34549585.75,33381.24,345.22,343175.55
s-0-210,1015,34550656.26,34040.06,345.11,343241.60
s-0-211,981,34552461.78,35221.67,345.25,343302.52
s-0-212,993,34551852.30,34795.42,345.09,342286.12
s-0-213,970,34553080.31,35621.73,344.91,342194.51
s-0-214,1070,34547850.83,32287.71,344.94,342857.14
s-0-215,977,34552753.85,35366.18,344.69,343156.73
s-0-216,1000,34551566.86,34551.57,345.15,343261.70
s-0-217,1014,34550852.38,34073.82,344.89,343126.24
s-0-218,989,34552185.40,34936.49,344.94,343322.01
s-0-219,1016,34550788.41,34006.68,345.48,343201.80
s-0-220,965,34553486.43,35806.72,344.92,343417.40
s-0-221,1032,34549989.45,33478.67,344.74,343119.94
s-0-222,994,34552004.96,34760.57,344.71,343225.18
s-0-223,1009,34551237.98,34243.05,344.97,343267.24
s-0-224,1001,34551678.50,34517.16,344.94,343121.70
s-0-225,1039,34549704.01,33252.84,345.08,342989.40
s-0-226,967,34553504.53,35732.68,345.17,341467.42
s-0-227,987,34552475.05,35007.57,345.09,343162.36
s-0-228,947,34554595.57,36488.49,345.54,343325.67
s-0-229,1010,34551308.58,34209.22,345.02,343203.85
s-0-230,1006,34551539.10,34345.47,345.13,342946.04
s-0-231,997,34552032.12,34656.00,345.02,343310.73
s-0-232,990,34552420.13,34901.43,344.79,343311.75
s-0-233,1041,34549763.15,33189.01,344.77,343196.48
s-0-234,1005,34551673.67,34379.77,345.41,341781.05
s-0-235,1061,34548754.18,32562.45,344.97,343014.41
s-0-236,976,34553237.20,35402.91,344.94,343207.92
s-0-237,924,34555987.72,37398.26,345.09,342806.94
s-0-238,928,34555798.23,37236.85,345.10,343417.79
s-0-239,997,34552196.25,34656.16,345.04,343271.13
s-0-240,1013,34551376.77,34107.97,345.02,342631.77
s-0-241,1017,34551187.28,33973.64,345.24,343113.35
s-0-242,994,34552415.30,34760.98,345.07,342845.66
s-0-243,965,34553958.32,35807.21,345.08,343201.73
s-0-244,985,34552928.83,35079.12,345.38,342900.27
s-0-245,1007,34551794.35,34311.61,344.95,342982.39
s-0-246,1075,34548244.87,32137.90,345.11,342966.77
s-0-247,1000,34552202.88,34552.20,344.94,342483.29
s-0-248,975,34553535.90,35439.52,345.01,343388.89
s-0-249,1009,34551771.42,34243.58,345.01,343251.65
s-0-250,1016,34551424.43,34007.31,345.07,342987.90
s-0-251,986,34553019.95,35043.63,344.92,343252.46
s-0-252,1039,34550257.97,33253.38,344.49,342838.23
s-0-253,996,34552535.98,34691.30,345.07,343281.19
s-0-254,1052,34549616.50,32841.84,344.81,343153.40
s-0-255,1014,34551632.02,34074.59,344.99,343030.26
s-0-256,1036,34550497.53,33349.90,344.82,342819.09
s-0-257,1005,34552145.55,34380.24,345.16,343099.74
s-0-258,995,34552691.07,34726.32,344.88,343261.08
s-0-259,1012,34551819.09,34142.11,344.88,342911.26
s-0-260,1027,34551052.10,33642.70,344.94,342988.25
s-0-261,1021,34551387.62,33840.73,344.86,343184.16
s-0-262,1007,34552143.14,34311.96,345.15,343262.73
s-0-263,1025,34551218.65,33708.51,345.12,343007.14
s-0-264,1009,34552079.17,34243.88,345.26,342799.21
s-0-265,989,34553149.69,34937.46,345.23,342127.38
s-0-266,1008,34552172.70,34277.95,344.98,343271.96
s-0-267,1052,34549883.22,32842.09,344.98,343174.12
s-0-268,1005,34552371.24,34380.47,344.87,343271.14
s-0-269,962,34554649.25,35919.59,345.23,343292.93
s-0-270,1008,34552254.77,34278.03,344.86,342414.56
s-0-271,1049,34550122.79,32936.25,344.99,343098.41
s-0-272,1013,34552033.30,34108.62,344.97,343269.30
s-0-273,993,34553103.82,34796.68,344.93,342977.29
s-0-274,1072,34548976.84,32228.52,345.05,343081.60
s-0-275,1013,34552094.85,34108.68,345.07,343167.74
s-0-276,1015,34552010.37,34041.39,345.13,343254.12
s-0-277,993,34553185.89,34796.76,345.05,342998.79
s-0-278,968,34554518.90,35696.82,344.88,343298.63
s-0-279,1014,34552124.42,34075.07,345.35,342736.37
s-0-280,994,34553194.94,34761.77,345.34,342933.87
s-0-281,1008,34552480.45,34278.25,344.89,343110.28
s-0-282,1037,34550978.47,33318.20,345.13,343173.70
s-0-283,994,34553256.49,34761.83,344.86,343135.13
s-0-284,1015,34552174.50,34041.55,345.05,342883.08
s-0-285,970,34554557.52,35623.26,345.25,343373.09
s-0-286,994,34553318.04,34761.89,345.40,343227.02
s-0-287,975,34554336.05,35440.34,345.33,342610.76
s-0-288,1055,34550156.57,32748.96,344.90,343178.84
s-0-289,1040,34550964.59,33222.08,345.22,343157.08
s-0-290,984,34553925.10,35115.78,344.93,343309.49
s-0-291,1039,34551058.12,33254.15,345.03,343185.19
s-0-292,1038,34551131.14,33286.25,344.90,343154.83
s-0-293,974,34554511.66,35476.91,344.80,343259.48
s-0-294,1004,34552957.17,34415.30,344.94,343286.53
s-0-295,1000,34553187.69,34553.19,345.21,343261.49
s-0-296,996,34553418.21,34692.19,345.24,343073.40
s-0-297,959,34555381.22,36032.72,345.22,343297.09
s-0-298,1019,34552251.74,33908.00,345.14,343253.71
s-0-299,996,34553479.76,34692.25,345.20,343333.10
s-0-300,1010,34552765.27,34210.66,344.91,343129.04
s-0-301,968,34554990.79,35697.30,344.92,343350.52
s-0-302,1007,34552963.81,34312.77,345.63,342656.09
s-0-303,960,34555451.82,35995.26,344.71,343249.96
s-0-304,988,34554002.34,34973.69,344.87,343269.49
s-0-305,1007,34553025.36,34312.84,345.15,342818.07
s-0-306,994,34553728.37,34762.30,345.47,343081.72
s-0-307,1040,34551333.89,33222.44,345.05,343194.01
s-0-308,1013,34552771.91,34109.35,345.09,342926.95
s-0-309,1056,34550534.92,32718.31,344.86,343167.15
s-0-310,1029,34551972.94,33578.20,344.89,343118.92
s-0-311,923,34557558.46,37440.48,345.25,343347.69
s-0-312,962,34555531.47,35920.51,344.99,342977.32
s-0-313,1025,34552244.49,33709.51,345.09,342888.05
s-0-314,993,34553945.01,34797.53,345.65,343184.62
s-0-315,980,34554648.02,35259.84,344.99,343080.90
s-0-316,979,34554721.04,35295.94,344.89,343111.14
s-0-317,990,34554164.06,34903.20,345.26,343337.61
s-0-318,992,34554079.57,34832.74,344.89,343037.75
s-0-319,1032,34552000.09,33480.62,344.96,343215.96
s-0-320,988,34554330.61,34974.02,344.93,342440.63
s-0-321,992,34554141.12,34832.80,345.03,343268.88
s-0-322,952,34556261.64,36298.59,345.32,343360.36
s-0-323,1024,34552502.16,33742.68,344.94,343107.34
s-0-324,978,34554937.68,35332.25,345.09,343114.62
s-0-325,1014,34553068.19,34076.00,345.02,342822.70
s-0-326,1008,34553403.71,34279.17,345.10,343202.63
s-0-327,1030,34552269.23,33545.89,344.92,343144.56
s-0-328,1036,34551974.74,33351.33,345.09,343078.75
s-0-329,997,34554042.76,34658.02,345.08,343099.42
s-0-330,995,34554168.28,34727.81,345.43,343207.53
s-0-331,996,34554136.29,34692.91,345.18,342448.04
s-0-332,981,34554944.31,35224.20,344.85,343053.14
s-0-333,990,34554492.33,34903.53,344.68,342752.21
s-0-334,1016,34553147.84,34009.00,345.05,342814.51
s-0-335,932,34557578.36,37078.95,344.81,343467.24
s-0-336,976,34555288.88,35405.01,345.15,343073.62
s-0-337,985,34554836.89,35081.05,345.14,343256.97
s-0-338,985,34554857.41,35081.07,344.84,343350.53
s-0-339,983,34554982.93,35152.58,344.91,343251.02
s-0-340,1019,34553113.44,33908.85,345.07,343137.29
s-0-341,995,34554393.96,34728.03,344.94,343251.44
s-0-342,1032,34552471.98,33481.08,345.11,343167.34
s-0-343,944,34557112.49,36607.11,345.13,343283.53
s-0-344,1007,34553825.51,34313.63,345.29,343288.58
s-0-345,994,34554528.53,34763.11,345.12,342969.62
s-0-346,982,34555179.04,35188.57,344.76,343351.14
s-0-347,977,34555462.06,35368.95,345.03,343061.92
s-0-348,1035,34552437.58,33384.00,345.16,343005.98
s-0-349,969,34555923.09,35661.43,345.03,343319.13
s-0-350,992,34554736.11,34833.40,345.29,342894.59
s-0-351,1018,34553391.63,33942.43,345.13,343008.24
s-0-352,1027,34552939.64,33644.54,345.06,342476.90
s-0-353,1003,34554220.16,34450.87,345.27,343291.04
s-0-354,1020,34553348.18,33875.83,344.82,343264.38
s-0-355,1018,34553473.69,33942.51,345.04,343195.44
s-0-356,1057,34551446.71,32688.22,345.15,342984.35
s-0-357,1024,34553199.73,33743.36,344.97,343223.55
s-0-358,1031,34552852.75,33513.92,345.00,343191.96
s-0-359,1005,34554238.26,34382.33,345.36,343299.86
s-0-360,947,34557303.78,36491.35,344.97,343360.56
s-0-361,979,34555644.30,35296.88,345.07,343126.58
s-0-362,959,34556714.81,36034.11,345.11,342660.30
s-0-363,1014,34553847.83,34076.77,345.32,342716.30
s-0-364,993,34554970.85,34798.56,344.81,343343.15
s-0-365,1004,34554413.86,34416.75,344.94,342859.93
s-0-366,974,34556009.38,35478.45,345.01,342753.07
s-0-367,971,34556187.40,35588.25,345.17,342718.47
s-0-368,1049,34552112.91,32938.14,345.04,342565.48
s-0-369,1055,34551818.43,32750.54,344.76,343165.71
s-0-370,977,34555933.95,35369.43,345.06,343029.95
s-0-371,971,34556269.46,35588.33,344.89,343293.07
s-0-372,981,34555764.98,35225.04,345.08,343242.67
s-0-373,1023,34553580.50,33776.72,344.90,343124.78
s-0-374,944,34557748.51,36607.78,345.22,343196.13
s-0-375,1018,34553884.03,33942.91,345.10,343197.49
s-0-376,977,34556057.05,35369.56,344.85,343309.70
s-0-377,992,34555290.06,34833.96,345.24,342934.93
s-0-378,936,34558250.58,36921.21,345.08,343354.93
s-0-379,1043,34552653.60,33128.14,345.22,343024.03
s-0-380,927,34558764.11,37280.22,345.28,343351.85
s-0-381,1055,34552064.63,32750.77,344.72,343163.04
s-0-382,971,34556495.15,35588.56,345.29,342874.13
s-0-383,997,34555150.66,34659.13,345.05,343213.07
s-0-384,1031,34553386.18,33514.44,345.25,343037.66
s-0-385,1029,34553511.70,33579.70,344.94,342505.18
s-0-386,1003,34554897.21,34451.54,345.07,343065.39
s-0-387,986,34555810.23,35046.46,344.98,343302.11
s-0-388,1015,34554308.25,34043.65,344.97,343267.45
s-0-389,988,34555746.27,34975.45,345.24,342981.83
s-0-390,1000,34555136.78,34555.14,345.08,343195.43
s-0-391,1022,34554002.30,33810.18,345.21,343127.65
s-0-392,1038,34553182.82,33288.23,345.09,342780.09
s-0-393,1007,34554830.83,34314.63,345.26,343117.89
s-0-394,1032,34553538.85,33482.11,345.00,343178.62
s-0-395,1008,34554819.37,34280.57,345.25,343114.46
s-0-396,1014,34554524.88,34077.44,345.08,343115.73
s-0-397,1014,34554545.40,34077.46,345.05,343168.97
s-0-398,1019,34554303.42,33910.01,345.19,343272.99
s-0-399,981,34556318.93,35225.61,344.97,343337.81
s-0-400,1003,34555184.45,34451.83,345.14,342941.63
s-0-401,990,34555887.47,34904.94,345.30,343280.77
s-0-402,1017,34554490.48,33976.88,345.07,343228.47
s-0-403,1003,34555246.00,34451.89,344.74,343230.93
s-0-404,1046,34553009.02,33033.47,345.14,342743.81
s-0-405,1049,34552872.03,32938.87,345.10,343150.11
s-0-406,980,34556515.05,35261.75,345.15,342931.54
s-0-407,958,34557690.57,36072.75,344.82,343408.78
s-0-408,975,34556818.58,35442.89,345.01,342783.92
s-0-409,1020,34554476.60,33876.94,344.91,343131.96
s-0-410,991,34556019.62,34869.85,345.08,342975.72
s-0-411,919,34559820.13,37605.90,345.11,342961.54
s-0-412,1030,34554013.15,33547.59,344.94,343234.22
s-0-413,1028,34554138.67,33612.98,344.92,343135.33
s-0-414,1011,34555051.68,34179.08,345.10,343264.99
s-0-415,1000,34555649.70,34555.65,345.15,343204.05
s-0-416,986,34556405.22,35047.06,345.06,342421.97
s-0-417,1009,34555218.23,34247.00,345.26,342850.51
s-0-418,1025,34554398.75,33711.61,345.42,343161.79
s-0-419,1013,34555049.27,34111.60,345.07,342897.66
s-0-420,1042,34553547.29,33160.79,345.07,342576.39
s-0-421,982,34556717.80,35190.14,345.08,343313.39
s-0-422,1002,34555688.32,34486.71,345.09,342494.02
s-0-423,1006,34555498.84,34349.40,345.45,342435.12
s-0-424,997,34555991.85,34659.97,344.83,343186.57
s-0-425,982,34556799.87,35190.22,345.07,343236.78
s-0-426,1003,34555717.89,34452.36,345.03,343292.27
s-0-427,968,34557575.90,35699.98,344.87,343335.95
s-0-428,939,34559118.92,36804.17,344.92,342917.18
s-0-429,989,34556514.44,34940.86,345.04,343248.97
s-0-430,976,34557217.45,35406.99,345.45,343301.69
s-0-431,1013,34555295.47,34111.84,345.05,343157.75
s-0-432,952,34558518.49,36300.96,345.30,343421.11
s-0-433,986,34556754.00,35047.42,344.90,343271.33
s-0-434,1022,34554884.52,33811.04,344.85,343041.73
s-0-435,1025,34554747.54,33711.95,345.10,343255.15
s-0-436,1025,34554768.05,33711.97,344.93,342428.40
s-0-437,989,34556678.57,34941.03,345.07,343138.75
s-0-438,998,34556226.59,34625.48,344.97,343328.38
s-0-439,1050,34553517.10,32908.11,345.19,342279.86
s-0-440,1006,34555847.62,34349.75,345.05,342090.25
s-0-441,1001,34556130.64,34521.61,345.14,343239.95
s-0-442,966,34557988.65,35774.32,345.16,343018.55
s-0-443,999,34556276.67,34590.87,344.74,342985.65
s-0-444,1069,34552622.19,32322.38,344.94,343119.35
s-0-445,983,34557157.70,35154.79,344.95,343267.02
s-0-446,1021,34555183.22,33844.45,344.84,343230.32
s-0-447,1016,34555466.24,34011.29,345.07,342597.77
s-0-448,1106,34550761.75,31239.39,344.93,342951.74
s-0-449,994,34556662.27,34765.25,345.13,342601.69
s-0-450,993,34556735.29,34800.34,345.20,343160.10
s-0-451,1074,34552503.30,32171.79,345.24,342250.31
s-0-452,1019,34555411.32,33911.10,345.08,342699.25
s-0-453,990,34556954.34,34906.01,345.38,342301.37
s-0-454,1039,34554402.36,33257.37,345.11,341869.60
s-0-455,995,34556732.87,34730.38,345.14,343143.92
s-0-456,999,34556543.39,34591.13,344.96,343310.73
s-0-457,1027,34555093.91,33646.63,345.18,343156.05
s-0-458,1027,34555114.42,33646.65,344.96,343184.57
s-0-459,1025,34555239.94,33712.43,345.28,343061.46
s-0-460,1005,34556310.46,34384.39,345.02,343190.51
s-0-461,960,34558693.47,35998.64,344.89,343385.80
s-0-462,966,34558398.99,35774.74,345.12,343406.73
s-0-463,1000,34556634.51,34556.63,344.98,343306.63
s-0-464,1019,34555657.52,33911.34,344.85,343163.64
s-0-465,988,34557305.54,34977.03,344.97,343349.91
s-0-466,983,34557588.56,35155.23,345.30,343339.24
s-0-467,998,34556821.57,34626.07,345.25,342056.05
s-0-468,973,34558154.59,35517.12,345.16,343262.35
s-0-469,1054,34553922.61,32783.61,344.89,342872.62
s-0-470,1021,34555675.62,33844.93,344.78,343244.89
s-0-471,994,34557113.64,34765.71,345.16,342577.60
s-0-472,1042,34554614.16,33161.82,345.02,343100.05
s-0-473,1050,34554214.67,32908.78,344.93,343124.47
s-0-474,905,34561847.69,38189.89,345.01,343529.19
s-0-475,959,34559033.21,36036.53,344.93,343344.98
s-0-476,1014,34556166.22,34079.06,344.98,343185.38
s-0-477,1028,34555451.74,33614.25,345.10,342849.00
s-0-478,971,34558464.76,35590.59,344.90,343396.68
s-0-479,1035,34555125.27,33386.59,345.05,342666.60
s-0-480,1002,34556878.29,34487.90,345.18,343238.93
s-0-481,1011,34556426.31,34180.44,345.01,343266.83
s-0-482,1033,34555291.82,33451.40,345.01,342768.97
s-0-483,994,34557359.84,34765.96,344.88,343267.03
s-0-484,974,34558430.36,35480.93,344.86,343383.35
s-0-485,1034,34555300.88,33419.05,345.01,343091.82
s-0-486,981,34558103.89,35227.42,345.18,342974.95
s-0-487,979,34558229.41,35299.52,345.21,343314.83
