Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time Execution, Waiting Time
s-0-0,931,34550757.74,37111.45,344.83,343500.68
s-0-1,998,34547260.76,34616.49,344.93,343322.84
s-0-2,1028,34545706.28,33604.77,345.06,342603.78
s-0-3,958,34549401.79,36064.09,345.04,342902.07
s-0-4,943,34550209.81,36638.61,344.69,343434.01
s-0-5,999,34547290.33,34581.87,344.91,342883.10
s-0-6,963,34549200.84,35876.64,345.22,343315.23
s-0-7,1010,34546753.86,34204.71,345.02,343184.79
s-0-8,1020,34546249.38,33868.87,345.48,342718.89
s-0-9,996,34547529.89,34686.27,345.37,342782.07
s-0-10,963,34549282.91,35876.72,345.11,343203.60
s-0-11,1024,34546100.93,33736.43,345.15,343062.05
s-0-12,1010,34546856.44,34204.81,345.24,342766.67
s-0-13,944,34550341.96,36599.94,345.63,343325.59
s-0-14,921,34551569.98,37515.28,345.06,343496.16
s-0-15,1015,34546655.49,34036.11,345.08,343238.93
s-0-16,1046,34545048.51,33025.86,344.96,342844.74
s-0-17,993,34547851.53,34791.39,344.93,343260.05
s-0-18,1046,34545089.54,33025.90,344.95,343046.94
s-0-19,1049,34544952.56,32931.32,345.01,343164.06
s-0-20,1024,34546285.58,33736.61,344.92,342966.05
s-0-21,960,34549666.09,35989.24,344.79,343353.80
s-0-22,1021,34546484.11,33835.93,345.05,343056.18
s-0-23,994,34547922.13,34756.46,344.79,343165.72
s-0-24,996,34547837.64,34686.58,345.21,343206.51
s-0-25,1009,34547175.66,34239.02,344.83,343281.40
s-0-26,997,34547826.18,34651.78,344.83,343166.00
s-0-27,967,34549421.69,35728.46,345.04,343376.37
s-0-28,933,34551227.21,37032.40,345.00,343468.88
s-0-29,1012,34547100.23,34137.45,344.80,343025.68
s-0-30,976,34549010.74,35398.58,344.99,342675.17
s-0-31,1006,34547456.26,34341.41,344.72,343306.63
s-0-32,1002,34547686.78,34478.73,345.34,342729.33
s-0-33,923,34551854.79,37434.30,344.99,343289.89
s-0-34,1003,34547675.31,34444.34,345.27,342920.42
s-0-35,1031,34546225.83,33507.49,344.86,343207.96
s-0-36,980,34548923.85,35254.00,345.17,343030.21
s-0-37,976,34549154.36,35398.72,345.35,343366.94
s-0-38,1029,34546392.38,33572.78,345.24,342816.26
s-0-39,978,34549090.40,35326.27,345.00,343313.59
s-0-40,947,34550738.41,36484.41,344.91,343380.67
s-0-41,1023,34546768.93,33770.06,345.31,342834.52
s-0-42,1002,34547891.95,34478.93,345.09,343047.23
s-0-43,1014,34547282.46,34070.30,345.07,343010.14
s-0-44,1020,34546987.98,33869.60,345.03,342081.27
s-0-45,988,34548688.50,34968.31,345.04,343171.74
s-0-46,1016,34547239.01,34003.19,344.99,342936.62
s-0-47,941,34551197.03,36717.53,345.22,343328.88
s-0-48,998,34548225.05,34617.46,344.98,343262.52
s-0-49,1037,34546198.06,33313.60,344.83,342850.41
s-0-50,1040,34546061.08,33217.37,345.22,343007.91
s-0-51,950,34550806.60,36369.27,345.13,343373.28
s-0-52,1019,34547204.61,33903.05,345.09,343116.31
s-0-53,991,34548695.13,34862.46,345.04,343282.21
s-0-54,1009,34547770.65,34239.61,345.09,343101.83
s-0-55,978,34549418.66,35326.60,345.19,343307.85
s-0-56,1016,34547444.18,34003.39,345.53,343198.31
s-0-57,1045,34545942.20,33058.32,345.16,343178.63
s-0-58,995,34548587.71,34722.20,345.08,342880.98
s-0-59,980,34549395.73,35254.49,345.09,343161.93
s-0-60,982,34549311.25,35182.60,345.18,343306.42
s-0-61,1056,34545446.76,32713.49,345.12,341927.21
s-0-62,1008,34547987.28,34273.80,344.96,343215.33
s-0-63,979,34549530.30,35290.63,345.04,343309.90
s-0-64,1013,34547765.82,34104.41,345.01,343255.14
s-0-65,979,34549571.33,35290.68,345.24,343296.36
s-0-66,1003,34548331.85,34445.00,344.90,343280.17
s-0-67,958,34550714.87,36065.46,344.87,343342.72
s-0-68,991,34549002.88,34862.77,345.02,343221.89
s-0-69,963,34550493.40,35877.98,345.08,342710.05
s-0-70,1000,34548571.42,34548.57,345.46,343080.06
s-0-71,1030,34547016.93,33540.79,345.13,343206.93
s-0-72,947,34551394.95,36485.11,345.09,343451.45
s-0-73,1024,34547372.97,33737.67,344.99,343203.85
s-0-74,986,34549388.48,35039.95,344.62,343245.07
s-0-75,966,34550459.00,35766.52,344.71,343100.80
s-0-76,1012,34548064.52,34138.40,345.40,342169.95
s-0-77,962,34550710.03,35915.50,345.53,343313.79
s-0-78,1013,34548053.05,34104.69,344.77,343253.29
s-0-79,960,34550856.07,35990.48,345.02,342971.62
s-0-80,950,34551401.58,36369.90,344.71,343176.34
s-0-81,892,34554467.10,38738.19,345.14,343083.17
s-0-82,1013,34548135.12,34104.77,345.20,343084.67
s-0-83,1016,34547998.13,34003.94,345.16,343180.87
s-0-84,1010,34548333.65,34206.27,345.13,343159.04
s-0-85,963,34550821.67,35878.32,345.20,343337.80
s-0-86,1022,34547744.68,33804.06,345.08,343238.32
s-0-87,992,34549340.20,34827.96,344.91,343254.10
s-0-88,1016,34548100.72,34004.04,344.94,342785.87
s-0-89,951,34551533.73,36331.79,345.42,342870.15
s-0-90,1001,34548929.25,34514.41,345.23,343230.72
s-0-91,1028,34547532.27,33606.55,344.82,343216.37
s-0-92,1007,34548655.28,34308.50,345.05,343227.23
s-0-93,945,34551930.80,36562.89,344.89,343407.96
s-0-94,941,34552161.32,36718.56,344.86,343483.87
s-0-95,1026,34547719.33,33672.24,345.37,342605.22
s-0-96,1028,34547634.85,33606.65,344.63,343111.24
s-0-97,989,34549702.87,34933.98,345.03,343299.44
s-0-98,942,34552190.89,36679.61,345.16,343216.85
s-0-99,1008,34548746.40,34274.55,345.36,343241.19
s-0-100,946,34552021.92,36524.34,345.25,343471.15
s-0-101,988,34549837.44,34969.47,344.98,342355.17
s-0-102,1033,34547495.45,33443.85,345.09,342375.94
s-0-103,1031,34547620.97,33508.85,345.15,343221.09
s-0-104,1023,34548061.49,33771.32,345.01,343230.53
s-0-105,977,34550497.00,35363.87,344.80,343223.72
s-0-106,958,34551515.02,36066.30,345.05,342932.30
s-0-107,1008,34548910.54,34274.71,345.10,343110.07
s-0-108,968,34551031.05,35693.21,345.18,343381.09
s-0-109,953,34551839.07,36255.86,344.86,343114.14
s-0-110,992,34549812.09,34828.44,345.25,343090.68
s-0-111,984,34550252.60,35112.05,345.16,343266.00
s-0-112,982,34550378.12,35183.68,345.05,342985.51
s-0-113,992,34549873.64,34828.50,344.98,343280.98
s-0-114,1012,34548844.15,34139.17,345.01,342765.02
s-0-115,1046,34547079.67,33027.80,345.00,343055.70
s-0-116,994,34549830.19,34758.38,344.92,342789.91
s-0-117,990,34550060.70,34899.05,344.84,343306.01
s-0-118,992,34549976.22,34828.61,344.89,341943.08
s-0-119,953,34552044.24,36256.08,345.10,343243.92
s-0-120,1007,34549229.75,34309.07,345.19,343233.59
s-0-121,976,34550877.77,35400.49,344.98,343338.01
