Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,200194,84315480.875685,421.169,467.261
s-0-1,199923,84315526.647077,421.74,467.258
s-0-2,199759,84315572.830417,422.086,467.264
s-0-3,199716,84315619.481403,422.178,467.291
s-0-4,200060,84315667.700836,421.452,467.25
s-0-5,199929,84315714.009723,421.728,467.241
s-0-6,199374,84315758.622950,422.902,467.254
s-0-7,200382,84315809.496242,420.775,467.247
s-0-8,201046,84315858.986247,419.386,467.254
s-0-9,199617,84315900.106385,422.388,467.235

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0.422904,10.4229,2000000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,84289604.464336,42144.8,468.274
iot-0-1,2000,84291665.248248,42145.8,468.286
iot-0-2,2000,84288855.087513,42144.4,468.27
iot-0-3,2000,84292742.476165,42146.4,468.292
iot-0-4,2000,84278879.013609,42139.4,468.215
iot-0-5,2000,84281408.160492,42140.7,468.229
iot-0-6,2000,84303374.255321,42151.7,468.351
iot-0-7,2000,84311711.079104,42155.9,468.397
iot-0-8,2000,84277520.771980,42138.8,468.207
iot-0-9,2000,84303889.452712,42151.9,468.354
iot-0-10,2000,84308479.472283,42154.2,468.379
iot-0-11,2000,84277380.262510,42138.7,468.207
iot-0-12,2000,84290447.688875,42145.2,468.279
iot-0-13,2000,84273492.876062,42136.7,468.185
iot-0-14,2000,84310774.357574,42155.4,468.392
iot-0-15,2000,84296957.806111,42148.5,468.315
iot-0-16,2000,84282438.552212,42141.2,468.235
iot-0-17,2000,84278598.000175,42139.3,468.213
iot-0-18,2000,84299767.880803,42149.9,468.331
iot-0-19,2000,84294007.049836,42147,468.299
iot-0-20,2000,84276771.396083,42138.4,468.203
iot-0-21,2000,84297191.899760,42148.6,468.317
iot-0-22,2000,84311008.528690,42155.5,468.393
iot-0-23,2000,84295505.801765,42147.8,468.307
iot-0-24,2000,84286560.123280,42143.3,468.258
iot-0-25,2000,84293866.542791,42146.9,468.298
iot-0-26,2000,84281876.608721,42140.9,468.232
iot-0-27,2000,84294241.229771,42147.1,468.3
iot-0-28,2000,84294756.425561,42147.4,468.303
iot-0-29,2000,84272743.674781,42136.4,468.181
iot-0-30,2000,84293585.792664,42146.8,468.297
iot-0-31,2000,84309135.087737,42154.6,468.383
iot-0-32,2000,84283749.962944,42141.9,468.242
iot-0-33,2000,84289979.152639,42145,468.277
iot-0-34,2000,84299065.341274,42149.5,468.327
iot-0-35,2000,84297004.556150,42148.5,468.316
iot-0-36,2000,84281173.979625,42140.6,468.228
iot-0-37,2000,84312788.305337,42156.4,468.403
iot-0-38,2000,84276537.214805,42138.3,468.202
iot-0-39,2000,84303280.583836,42151.6,468.35
iot-0-40,2000,84302952.729034,42151.5,468.349
iot-0-41,2000,84284312.082584,42142.2,468.245
iot-0-42,2000,84311336.471673,42155.7,468.395
iot-0-43,2000,84301313.466731,42150.7,468.339
iot-0-44,2000,84306184.414135,42153.1,468.367
iot-0-45,2000,84278691.672833,42139.3,468.214
iot-0-46,2000,84293398.269366,42146.7,468.295
iot-0-47,2000,84273961.234565,42137,468.188
iot-0-48,2000,84290728.528105,42145.4,468.281
iot-0-49,2000,84300985.709060,42150.5,468.338
iot-0-50,2000,84296020.998068,42148,468.31
iot-0-51,2000,84308526.221053,42154.3,468.38
iot-0-52,2000,84314615.060331,42157.3,468.413
iot-0-53,2000,84289698.135134,42144.8,468.275
iot-0-54,2000,84286747.466054,42143.4,468.259
iot-0-55,2000,84305247.698361,42152.6,468.361
iot-0-56,2000,84294288.065827,42147.1,468.3
iot-0-57,2000,84310587.008024,42155.3,468.391
iot-0-58,2000,84286044.926100,42143,468.255
iot-0-59,2000,84286091.761872,42143,468.255
iot-0-60,2000,84276303.034213,42138.2,468.2
iot-0-61,2000,84283047.687475,42141.5,468.238
iot-0-62,2000,84291805.756494,42145.9,468.287
iot-0-63,2000,84298643.905251,42149.3,468.325
iot-0-64,2000,84276022.018250,42138,468.199
iot-0-65,2000,84309743.958528,42154.9,468.386
iot-0-66,2000,84303186.912736,42151.6,468.35
iot-0-67,2000,84280705.619928,42140.4,468.225
iot-0-68,2000,84290494.523341,42145.2,468.279
iot-0-69,2000,84292320.953234,42146.2,468.29
iot-0-70,2000,84283234.764448,42141.6,468.239
iot-0-71,2000,84295177.948931,42147.6,468.305
iot-0-72,2000,84284171.573989,42142.1,468.244
iot-0-73,2000,84292274.113587,42146.1,468.289
iot-0-74,2000,84311242.801454,42155.6,468.395
iot-0-75,2000,84303046.404769,42151.5,468.349
iot-0-76,2000,84298081.781972,42149,468.321
iot-0-77,2000,84310352.826423,42155.2,468.39
