Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,99644,88985696.688963,893.036,493.222
s-0-1,100115,88985744.702484,888.835,493.201
s-0-2,100261,88985791.903428,887.541,493.207
s-0-3,100199,88985838.584441,888.091,493.2
s-0-4,99988,88985884.892966,889.966,493.223
s-0-5,100493,88985932.991466,885.494,493.157
s-0-6,99627,88985977.662444,893.191,493.246
s-0-7,100023,88986025.488461,889.656,493.211
s-0-8,99862,88986071.921979,891.09,493.167
s-0-9,99504,88986117.863033,894.297,493.199
s-0-10,99580,88986164.888990,893.615,493.231
s-0-11,100416,88986213.814975,886.176,493.185
s-0-12,100292,88986260.340953,887.272,493.168
s-0-13,99718,88986305.741973,892.38,493.174
s-0-14,99683,88986352.490446,892.693,493.178
s-0-15,100417,88986401.161452,886.169,493.196
s-0-16,100063,88986447.112460,889.304,493.179
s-0-17,99847,88986493.408474,891.229,493.19
s-0-18,99883,88986540.334506,890.908,493.219
s-0-19,100385,88986588.425447,886.453,493.211

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0.180802,20.1808,2000000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,88940427.112628,44470.2,494.113
iot-0-1,2000,88942487.896628,44471.2,494.125
iot-0-2,2000,88942066.372628,44471,494.122
iot-0-3,2000,88941738.520628,44470.9,494.121
iot-0-4,2000,88940661.292628,44470.3,494.115
iot-0-5,2000,88941925.864628,44471,494.122
iot-0-6,2000,88940708.128628,44470.4,494.115
iot-0-7,2000,88938975.196628,44469.5,494.105
iot-0-8,2000,88941457.504628,44470.7,494.119
iot-0-9,2000,88941972.786061,44471,494.122
iot-0-10,2000,88944033.484628,44472,494.133
iot-0-11,2000,88942160.044628,44471.1,494.123
iot-0-12,2000,88941832.192628,44470.9,494.121
iot-0-13,2000,88942253.716628,44471.1,494.123
iot-0-14,2000,88940708.214061,44470.4,494.115
iot-0-15,2000,88942300.552628,44471.2,494.124
iot-0-16,2000,88941129.652628,44470.6,494.117
iot-0-17,2000,88942113.208628,44471.1,494.123
iot-0-18,2000,88940848.636628,44470.4,494.116
iot-0-19,2000,88941270.246062,44470.6,494.118
iot-0-20,2000,88944736.024628,44472.4,494.137
iot-0-21,2000,88941785.356628,44470.9,494.121
iot-0-22,2000,88940895.472628,44470.4,494.116
iot-0-23,2000,88942862.584628,44471.4,494.127
iot-0-24,2000,88940801.800628,44470.4,494.115
iot-0-25,2000,88941691.684628,44470.8,494.12
iot-0-26,2000,88940520.784628,44470.3,494.114
iot-0-27,2000,88944220.828628,44472.1,494.134
iot-0-28,2000,88942206.880628,44471.1,494.123
iot-0-29,2000,88944501.844628,44472.3,494.136
iot-0-30,2000,88940099.260628,44470,494.111
iot-0-31,2000,88941176.488628,44470.6,494.117
iot-0-32,2000,88941364.003495,44470.7,494.118
iot-0-33,2000,88943096.764628,44471.5,494.128
iot-0-34,2000,88943986.648628,44472,494.133
iot-0-35,2000,88940989.144628,44470.5,494.116
iot-0-36,2000,88943049.928628,44471.5,494.128
iot-0-37,2000,88944127.156628,44472.1,494.134
iot-0-38,2000,88943284.108628,44471.6,494.129
iot-0-39,2000,88941644.848628,44470.8,494.12
iot-0-40,2000,88941223.324628,44470.6,494.118
iot-0-41,2000,88942675.240628,44471.3,494.126
iot-0-42,2000,88940473.948628,44470.2,494.114
iot-0-43,2000,88943237.272628,44471.6,494.129
iot-0-44,2000,88945391.728628,44472.7,494.141
iot-0-45,2000,88943471.452628,44471.7,494.13
iot-0-46,2000,88945157.548628,44472.6,494.14
iot-0-47,2000,88942628.404628,44471.3,494.126
iot-0-48,2000,88942534.732628,44471.3,494.125
iot-0-49,2000,88945017.040628,44472.5,494.139
iot-0-50,2000,88941551.176628,44470.8,494.12
iot-0-51,2000,88942347.388628,44471.2,494.124
iot-0-52,2000,88943846.140628,44471.9,494.132
iot-0-53,2000,88943003.092628,44471.5,494.128
iot-0-54,2000,88943330.944628,44471.7,494.129
iot-0-55,2000,88945860.088628,44472.9,494.143
iot-0-56,2000,88944408.172628,44472.2,494.135
iot-0-57,2000,88942956.256628,44471.5,494.127
iot-0-58,2000,88941972.700628,44471,494.122
iot-0-59,2000,88943424.616628,44471.7,494.13
iot-0-60,2000,88941316.996628,44470.7,494.118
iot-0-61,2000,88946843.644628,44473.4,494.149
iot-0-62,2000,88944595.516628,44472.3,494.136
iot-0-63,2000,88946468.956628,44473.2,494.147
iot-0-64,2000,88944642.438061,44472.3,494.137
iot-0-65,2000,88942722.076628,44471.4,494.126
iot-0-66,2000,88943939.812628,44472,494.133
iot-0-67,2000,88943658.796628,44471.8,494.131
iot-0-68,2000,88944455.008628,44472.2,494.136
iot-0-69,2000,88945251.220628,44472.6,494.14
iot-0-70,2000,88943752.468628,44471.9,494.132
iot-0-71,2000,88942909.420628,44471.5,494.127
iot-0-72,2000,88941879.028628,44470.9,494.121
iot-0-73,2000,88944548.680628,44472.3,494.136
iot-0-74,2000,88944267.664628,44472.1,494.135
iot-0-75,2000,88945204.384628,44472.6,494.14
iot-0-76,2000,88943799.304628,44471.9,494.132
iot-0-77,2000,88945860.174062,44472.9,494.143
iot-0-78,2000,88945063.876628,44472.5,494.139
iot-0-79,2000,88944923.368628,44472.5,494.138
iot-0-80,2000,88943705.632628,44471.9,494.131
iot-0-81,2000,88943518.288628,44471.8,494.13
iot-0-82,2000,88944173.992628,44472.1,494.134
iot-0-83,2000,88945110.712628,44472.6,494.139
iot-0-84,2000,88946281.612628,44473.1,494.146
iot-0-85,2000,88943565.124628,44471.8,494.131
iot-0-86,2000,88943611.960628,44471.8,494.131
iot-0-87,2000,88943377.780628,44471.7,494.13
iot-0-88,2000,88944361.336628,44472.2,494.135
iot-0-89,2000,88945579.072628,44472.8,494.142
iot-0-90,2000,88942441.060628,44471.2,494.124
iot-0-91,2000,88944689.188628,44472.3,494.137
