Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time Execution, Waiting Time
s-0-0,10133,345397251.76,34086.38,345.07,3432231.95
s-0-1,10040,345402154.78,34402.61,345.06,3432474.62
s-0-2,9916,345408685.30,34833.47,345.06,3432838.11
s-0-3,10014,345403560.81,34492.07,345.06,3432260.78
s-0-4,9892,345409986.33,34918.11,345.07,3432851.84
s-0-5,10104,345398876.85,34184.37,345.10,3432217.88
s-0-6,10076,345400367.36,34279.51,345.10,3432062.83
s-0-7,9997,345404535.38,34550.82,345.07,3431538.41
s-0-8,9997,345404555.90,34550.82,345.10,3432430.35
s-0-9,9876,345410928.91,34974.78,345.07,3432856.76
s-0-10,9912,345409059.43,34847.56,345.09,3432839.13
s-0-11,10017,345403567.45,34481.74,345.06,3432362.40
s-0-12,9957,345406737.96,34689.84,345.08,3432596.83
s-0-13,10066,345401035.98,34313.63,345.09,3432323.32
s-0-14,10126,345397906.50,34110.00,345.07,3432174.09
s-0-15,10299,345388844.51,33536.15,345.06,3431817.80
s-0-16,10131,345397685.03,34093.15,345.08,3431770.14
s-0-17,9863,345411775.55,35020.96,345.07,3432931.02
s-0-18,9892,345410273.56,34918.14,345.09,3432672.55
s-0-19,9987,345405306.58,34585.49,345.08,3432541.27
s-0-20,9865,345411732.10,35013.86,345.08,3432879.53
s-0-21,10089,345399992.61,34235.31,345.06,3432090.27
s-0-22,10019,345403688.13,34474.87,345.05,3432476.45
s-0-23,10132,345397776.15,34089.79,345.07,3432159.94
s-0-24,9810,345414701.66,35210.47,345.08,3432773.96
s-0-25,10023,345403539.68,34461.09,345.08,3432548.88
s-0-26,10048,345402247.70,34375.22,345.06,3432495.55
s-0-27,10101,345399485.72,34194.58,345.12,3432091.82
s-0-28,9922,345408903.73,34812.43,345.07,3432643.46
s-0-29,10062,345401574.25,34327.33,345.06,3432439.34
s-0-30,10039,345402802.27,34406.10,345.09,3432429.48
s-0-31,10028,345403400.28,34443.90,345.08,3432499.44
s-0-32,10051,345402213.30,34364.96,345.13,3432294.53
s-0-33,10051,345402233.82,34364.96,345.08,3432470.31
s-0-34,9978,345406086.83,34616.77,345.08,3432319.41
s-0-35,10102,345399597.35,34191.21,345.06,3432266.81
s-0-36,9989,345405550.37,34578.59,345.06,3432605.08
s-0-37,9825,345414180.88,35156.66,345.06,3433029.90
s-0-38,10101,345399711.40,34194.61,345.08,3432101.11
s-0-39,9923,345409076.92,34808.94,345.06,3432733.27
s-0-40,10038,345403059.93,34409.55,345.08,3432489.18
s-0-41,10023,345403867.95,34461.13,345.09,3432470.30
s-0-42,10053,345402313.47,34358.13,345.10,3432440.36
s-0-43,10077,345401073.98,34276.18,345.06,3432269.12
s-0-44,9822,345414482.00,35167.43,345.09,3432986.19
s-0-45,10014,345404422.52,34492.15,345.08,3432518.51
s-0-46,10075,345401240.53,34283.00,345.09,3432293.54
s-0-47,9986,345405933.55,34589.02,345.10,3432015.73
s-0-48,10155,345397081.57,34012.51,345.10,3432022.58
s-0-49,10186,345395474.58,33908.84,345.04,3432110.93
s-0-50,9983,345406152.60,34599.43,345.08,3431875.14
s-0-51,10116,345399190.62,34143.85,345.08,3431802.54
s-0-52,10030,345403726.13,34437.06,345.08,3432304.81
s-0-53,10108,345399651.65,34170.92,345.10,3432067.66
s-0-54,9818,345414897.17,35181.80,345.08,3432762.48
s-0-55,9906,345410297.68,34868.80,345.11,3432497.98
s-0-56,9924,345409373.20,34805.46,345.13,3432799.13
s-0-57,10095,345400416.22,34215.00,345.08,3432280.97
s-0-58,10279,345390776.74,33601.59,345.08,3431603.68
s-0-59,10065,345402032.25,34317.14,345.05,3431501.44
s-0-60,10054,345402630.27,34354.75,345.07,3432356.96
s-0-61,9943,345408478.29,34738.86,345.02,3432724.87
s-0-62,9920,345409706.30,34819.53,345.06,3432214.09
s-0-63,9842,345413821.82,35095.90,345.09,3432960.99
s-0-64,10032,345403867.34,34430.21,345.12,3432395.31
s-0-65,9959,345407720.35,34682.97,345.08,3432448.11
s-0-66,9908,345410418.37,34861.77,345.07,3432417.13
s-0-67,9857,345413116.39,35042.42,345.07,3432775.34
s-0-68,9942,345408674.40,34742.37,345.08,3432128.97
s-0-69,9826,345414784.92,35153.14,345.07,3432862.81
s-0-70,10063,345402362.94,34324.00,345.11,3432373.07
s-0-71,9962,345407685.95,34672.52,345.10,3432150.69
s-0-72,9917,345410068.97,34830.10,345.09,3432701.56
s-0-73,10001,345405679.49,34537.11,345.05,3432577.59
s-0-74,10078,345401657.50,34272.84,345.05,3432143.14
s-0-75,10101,345400470.52,34194.68,345.09,3431930.13
s-0-76,9947,345408576.04,34724.90,345.08,3432643.73
s-0-77,10099,345400616.55,34201.47,345.07,3432290.82
s-0-78,10147,345398117.07,34039.43,345.08,3432152.15
s-0-79,10027,345404437.59,34447.44,345.07,3432475.84
s-0-80,9898,345411230.60,34897.07,345.05,3432799.73
s-0-81,10003,345405738.62,34530.21,345.09,3432356.09
s-0-82,10020,345404866.64,34471.54,345.08,3431992.12
s-0-83,9973,345407354.65,34634.25,345.06,3432627.43
s-0-84,9967,345407690.17,34655.13,345.07,3432446.33
s-0-85,9976,345407238.19,34623.82,345.07,3432616.97
s-0-86,9968,345407678.70,34651.65,345.07,3432656.77
s-0-87,10015,345405231.72,34488.79,345.11,3432176.71
s-0-88,9914,345410554.74,34840.69,345.01,3432848.78
s-0-89,10003,345405902.76,34530.23,345.06,3432490.91
s-0-90,9843,345414323.27,35092.38,345.06,3432925.68
s-0-91,10158,345397806.29,34002.54,345.09,3431433.77
s-0-92,9887,345412054.31,34935.98,345.09,3432526.40
s-0-93,10111,345400314.82,34160.85,345.08,3431984.57
s-0-94,9993,345406530.34,34564.85,345.07,3432258.64
s-0-95,10156,345397993.36,34009.25,345.08,3432095.32
s-0-96,10072,345402423.87,34293.33,345.05,3431660.73
s-0-97,10064,345402864.39,34320.63,345.10,3431631.33
s-0-98,10153,345398212.41,34019.33,345.11,3431605.13
s-0-99,9858,345413720.42,35038.92,345.08,3432597.80
s-0-100,9960,345408385.94,34679.56,345.08,3432709.08
s-0-101,9876,345412816.46,34974.97,345.07,3432728.83
s-0-102,10169,345397454.47,33965.72,345.07,3431955.10
s-0-103,9946,345409182.49,34728.45,345.08,3432738.00
s-0-104,10168,345397548.01,33969.07,345.07,3432064.76
s-0-105,9972,345407858.52,34637.77,345.06,3432690.21
s-0-106,9985,345407196.54,34592.61,345.10,3431838.34
s-0-107,9964,345408319.56,34665.63,345.08,3432235.33
s-0-108,10100,345401200.07,34198.14,345.08,3432294.51
s-0-109,10057,345403478.09,34344.58,345.06,3432293.84
s-0-110,9790,345417516.11,35282.69,345.10,3433140.67
s-0-111,9929,345410239.12,34788.02,345.08,3432645.23
s-0-112,10190,345396557.14,33895.64,345.08,3431702.63
s-0-113,10127,345399885.16,34106.83,345.05,3432265.60
s-0-114,9923,345410615.67,34809.09,345.08,3432189.27
s-0-115,10061,345403391.19,34330.92,345.02,3432396.66
s-0-116,10117,345400471.71,34140.60,345.08,3432078.54
s-0-117,9943,345409627.22,34738.97,345.09,3432545.48
s-0-118,9984,345407495.24,34596.10,345.07,3432605.69
s-0-119,9960,345408775.76,34679.60,345.08,3432718.73
s-0-120,9985,345407483.78,34592.64,345.07,3432418.07
s-0-121,9950,345409341.79,34714.51,345.08,3432283.54
s-0-122,10068,345403167.31,34307.03,345.10,3431744.20
s-0-123,9751,345419830.33,35424.04,345.06,3433230.92
s-0-124,9852,345414548.34,35060.35,345.11,3433014.54
s-0-125,10009,345406326.36,34509.57,345.05,3432493.07
s-0-126,9955,345409181.88,34697.05,345.08,3432360.44
s-0-127,9989,345407417.39,34578.78,345.06,3432036.93
s-0-128,10040,345404760.41,34402.86,345.09,3432257.22
s-0-129,9981,345407878.43,34606.54,345.07,3432452.42
s-0-130,10099,345401703.94,34201.57,345.07,3432222.70
s-0-131,9950,345409546.96,34714.53,345.09,3432350.90
s-0-132,10079,345402794.98,34269.55,345.06,3432215.81
s-0-133,10020,345405912.99,34471.65,345.05,3432568.78
s-0-134,10029,345405461.01,34440.67,345.07,3432399.62
s-0-135,9984,345407844.03,34596.14,345.06,3432588.66
s-0-136,9952,345409544.54,34707.55,345.06,3432650.40
s-0-137,9998,345407150.06,34547.62,345.09,3432176.24
s-0-138,9902,345412210.58,34883.08,345.08,3432730.55
s-0-139,9938,345410341.09,34756.52,345.08,3432439.32
