Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-243,2000,93649282.001838,46824.6,468.245
iot-0-244,2000,93655527.004191,46827.8,468.277
iot-0-245,2000,93658076.761839,46829,468.289
iot-0-246,2000,93616705.164188,46808.4,468.082
iot-0-247,2000,93638717.881837,46819.4,468.192
iot-0-248,2000,93639290.321837,46819.6,468.195
iot-0-249,2000,93627997.641837,46814,468.139
iot-0-250,2000,93632004.721837,46816,468.159
iot-0-251,2000,93639602.764190,46819.8,468.197
iot-0-252,2000,93623105.881836,46811.6,468.114
iot-0-253,2000,93633045.521837,46816.5,468.164
iot-0-254,2000,93634242.441837,46817.1,468.17
iot-0-255,2000,93636584.343013,46818.3,468.182
iot-0-256,2000,93613478.481835,46806.7,468.066
iot-0-257,2000,93638978.081837,46819.5,468.194
iot-0-258,2000,93645483.183014,46822.7,468.226
iot-0-259,2000,93639186.241837,46819.6,468.195
iot-0-260,2000,93661199.161839,46830.6,468.305
iot-0-261,2000,93657504.321838,46828.8,468.286
iot-0-262,2000,93628778.241836,46814.4,468.143
iot-0-263,2000,93639134.201837,46819.6,468.195
iot-0-264,2000,93633617.961837,46816.8,468.167
iot-0-265,2000,93626228.383012,46813.1,468.13
iot-0-266,2000,93640747.441837,46820.4,468.203
iot-0-267,2000,93631068.001837,46815.5,468.154
iot-0-268,2000,93648189.161838,46824.1,468.24
iot-0-269,2000,93659273.681838,46829.6,468.295
iot-0-270,2000,93652456.441838,46826.2,468.261
iot-0-271,2000,93632264.921837,46816.1,468.16
iot-0-272,2000,93621232.441836,46810.6,468.105
iot-0-273,2000,93651831.961838,46825.9,468.258
iot-0-274,2000,93630027.201836,46815,468.149
iot-0-275,2000,93651832.063014,46825.9,468.258
iot-0-276,2000,93647824.881838,46823.9,468.238
iot-0-277,2000,93634554.681837,46817.3,468.172
iot-0-278,2000,93624510.961836,46812.3,468.121
iot-0-279,2000,93656411.481838,46828.2,468.281
iot-0-280,2000,93637729.121837,46818.9,468.187
iot-0-281,2000,93630235.361836,46815.1,468.15
iot-0-282,2000,93658284.921839,46829.1,468.29
iot-0-283,2000,93641944.361837,46821,468.209
iot-0-284,2000,93635855.681837,46817.9,468.178
iot-0-285,2000,93633774.081837,46816.9,468.168
iot-0-286,2000,93618370.444188,46809.2,468.091
iot-0-287,2000,93645951.441838,46823,468.229
iot-0-288,2000,93652872.863014,46826.4,468.263
iot-0-289,2000,93635751.601837,46817.9,468.178
iot-0-290,2000,93636168.023013,46818.1,468.18
iot-0-291,2000,93634138.564189,46817.1,468.17
iot-0-292,2000,93658232.881838,46829.1,468.29
iot-0-293,2000,93617277.401836,46808.6,468.085
iot-0-294,2000,93641996.503013,46821,468.209
iot-0-295,2000,93642620.881837,46821.3,468.212
iot-0-296,2000,93639134.404190,46819.6,468.195
iot-0-297,2000,93623574.241836,46811.8,468.117
iot-0-298,2000,93639810.721837,46819.9,468.198
iot-0-299,2000,93624146.681836,46812.1,468.12
iot-0-300,2000,93629090.481837,46814.5,468.144
iot-0-301,2000,93620972.444188,46810.5,468.104
iot-0-302,2000,93655006.401838,46827.5,468.274
iot-0-303,2000,93655058.441838,46827.5,468.274
iot-0-304,2000,93659429.903015,46829.7,468.296
iot-0-305,2000,93646784.081838,46823.4,468.233
iot-0-306,2000,93660002.343015,46830,468.299
iot-0-307,2000,93638613.801837,46819.3,468.192
iot-0-308,2000,93637677.081837,46818.8,468.187
iot-0-309,2000,93635075.081837,46817.5,468.174
iot-0-310,2000,93651988.081838,46826,468.259
iot-0-311,2000,93620087.561836,46810,468.099
iot-0-312,2000,93622169.161836,46811.1,468.11
iot-0-313,2000,93616965.161836,46808.5,468.084
iot-0-314,2000,93634710.801837,46817.4,468.172
iot-0-315,2000,93653028.983015,46826.5,468.264
iot-0-316,2000,93655995.263015,46828,468.279
iot-0-317,2000,93619046.761836,46809.5,468.094
iot-0-318,2000,93652612.561838,46826.3,468.262
iot-0-319,2000,93642777.103013,46821.4,468.213
iot-0-320,2000,93652664.804191,46826.3,468.262
iot-0-321,2000,93633513.881837,46816.8,468.166
iot-0-322,2000,93621440.601836,46810.7,468.106
iot-0-323,2000,93656255.361839,46828.1,468.28
iot-0-324,2000,93619567.161836,46809.8,468.097
iot-0-325,2000,93646575.921838,46823.3,468.232
iot-0-326,2000,93621804.881836,46810.9,468.108
iot-0-327,2000,93634294.481836,46817.1,468.17
iot-0-328,2000,93653549.281838,46826.8,468.267
iot-0-329,2000,93620712.041836,46810.4,468.102
iot-0-330,2000,93629819.345366,46814.9,468.148
iot-0-331,2000,93660106.321839,46830.1,468.299
iot-0-332,2000,93652560.521838,46826.3,468.262
iot-0-333,2000,93631588.604189,46815.8,468.157
iot-0-334,2000,93616236.601835,46808.1,468.08
iot-0-335,2000,93647304.684190,46823.7,468.235
iot-0-336,2000,93613426.441835,46806.7,468.066
iot-0-337,2000,93631016.063013,46815.5,468.154
