Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,99719,88992362.614834,892.431,493.253
s-0-1,100622,88992413.965769,884.423,493.245
s-0-2,99931,88992457.346741,890.539,493.27
s-0-3,99896,88992504.007832,890.852,493.208
s-0-4,100468,88992553.703754,885.78,493.253
s-0-5,100139,88992598.894807,888.691,493.267
s-0-6,99742,88992643.745801,892.228,493.221
s-0-7,100257,88992693.156788,887.646,493.189
s-0-8,100023,88992738.822786,889.723,493.225
s-0-9,100346,88992787.273806,886.859,493.263
s-0-10,99559,88992830.174835,893.87,493.25
s-0-11,100100,88992879.715791,889.04,493.216
s-0-12,99676,88992924.431783,892.822,493.179
s-0-13,99596,88992970.867823,893.54,493.211
s-0-14,99543,88993017.438848,894.016,493.222
s-0-15,100417,88993068.644795,886.235,493.209
s-0-16,100236,88993114.575799,887.836,493.258
s-0-17,99711,88993158.786853,892.511,493.232
s-0-18,100386,88993208.997759,886.51,493.233
s-0-19,99633,88993252.068786,893.211,493.259

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0.176706,20.1767,2000000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,98829291.976673,49414.6,494.146
iot-0-1,2000,98829344.016673,49414.7,494.147
iot-0-2,2000,98830853.176673,49415.4,494.154
iot-0-3,2000,98830905.216673,49415.5,494.154
iot-0-4,2000,98830488.896673,49415.2,494.152
iot-0-5,2000,98830801.136673,49415.4,494.154
iot-0-6,2000,98831842.139025,49415.9,494.159
iot-0-7,2000,98829864.416673,49414.9,494.149
iot-0-8,2000,98828771.576673,49414.4,494.144
iot-0-9,2000,98830592.976673,49415.3,494.153
iot-0-10,2000,98831217.456673,49415.6,494.156
iot-0-11,2000,98828563.416673,49414.3,494.143
iot-0-12,2000,98831009.296673,49415.5,494.155
iot-0-13,2000,98828303.216673,49414.2,494.141
iot-0-14,2000,98828875.656673,49414.4,494.144
iot-0-15,2000,98832830.696673,49416.4,494.164
